"Story","Title","Result","Date","Stability","Duration (s)"
"Formulaario popup validation","Diligenciamiento exitoso del formulario popup validaton,","SUCCESS","22:06:06","0.0","26.74"
"Formulaario popup validation","Diligenciamiento con errores del formulario Popup validation,","SUCCESS","22:06:35","0.0","32.11"
